ship_id,is_old,tier,type_id,nation_id,rarity_id,premium,special,index,default,zh_cn,zh_sg,zh_tw,en_short,en_full,ja,ru
4074157872,0,10,5,3,1,0,0,PGSS210,U_2501,U-2501,U-2501,U-2501,U-2501,U-2501,U-2501,U-2501
4277024464,0,5,4,2,4,1,0,PJSD017,Kamikaze_1930,杨,风神,Fūjin,Fūjin,Fūjin,風神,Fūjin
3667834576,0,8,3,2,2,1,0,PJSC598,Black_Atago,犬 (黑),爱宕 B,Atago B,Atago B,Atago B,愛宕 B,Atago B
3729733328,0,9,2,2,4,1,0,PJSB539,Daisen,鳇,大山,Daisen,Daisen,Daisen,大山,Daisen
3743332304,0,6,3,4,2,1,0,PBSC526,Dido,黛朵,黛朵,Dido,Dido,Dido,Dido,Dido
4181604176,0,8,4,6,1,0,0,PFSD108,Le_Fantasque,空想,空想,Le Fantasque,Le Fantasque,Le Fantasque,Le Fantasque,Le Fantasque
3539875824,0,10,4,1,3,0,1,PASD720,Hull,赫尔,赫尔,Hull,Hull,Hull,Hull,Hull
3544102864,0,6,3,4,3,1,0,PBSC716,Orion_1944,俄里翁 '44,俄里翁 44,Orion '44,Orion '44,Orion '44,Orion '44,Orion '44
4075763664,0,9,2,4,1,0,0,PBSB209,Duncan,邓肯,邓肯,Duncan,Duncan,Duncan,Duncan,Duncan
3552457936,0,8,4,8,3,1,0,PZSD708,Zhu_Que,凤雏,朱雀,朱雀,Zhu Que,Zhu Que,Zhu Que,Zhu Que
3542038256,0,8,2,7,2,1,0,PISB718,Marcantonio_Colonna,马尔康托尼奥·科隆纳,马坎托尼奥·科隆纳,M. Colonna,M. Colonna,Marcantonio Colonna,M. Colonna,M. Colonna
4287575760,0,5,2,2,1,0,0,PJSB007,Kongo_1942,鲤,金刚,Kongō,Kongō,Kongō,金剛,Kongō
3539384016,0,10,5,2,2,0,1,PJSS720,I56_1944,I-56 '44,I-56 '44,I-56 '44,I-56 '44,I-56 '44,伊 56 '44,I-56 '44
3764336336,0,6,2,2,2,1,0,PJSB506,Mutsu,鲭,陆奥,Mutsu,Mutsu,Mutsu,陸奥,Mutsu
4077860816,0,7,2,4,1,0,0,PBSB207,Rooke,鲁克,鲁克,Rooke,Rooke,Rooke,Rooke,Rooke
4290754544,1,4,1,1,1,0,1,PASA004,Langley_1929,兰利,兰利（旧）,Langley (old),Langley (old),Langley (< 23.01.2019),Langley (old),Langley (old)
4076779344,0,8,3,6,1,0,0,PFSC208,Cherbourg,瑟堡,瑟堡,Cherbourg,Cherbourg,Cherbourg,Cherbourg,Cherbourg
4187895760,0,2,4,4,1,0,0,PBSD102,Medea,美狄亚,美狄亚,Medea,Medea,Medea,Medea,Medea
3759585072,0,10,5,3,2,0,1,PGSS510,U4501,U-4501,U-4501,U-4501,U-4501,U-4501,U-4501,U-4501
3762173744,0,7,4,3,3,1,0,PGSD508,Z_39,Z-39,Z-39,Z-39,Z-39,Z-39,Z-39,Z-39
4293834544,0,1,3,3,1,0,0,PGSC001,Hermelin_1940,鼬,鼬,Hermelin,Hermelin,Hermelin,Hermelin,Hermelin
3436066800,0,9,4,1,4,1,0,PASD819,FBO_Johnston,战斗约翰尼,战斗约翰尼,GQ Johnny,GQ Johnny,GQ Johnny,GQ Johnny,GQ Johnny
4279154032,0,5,3,11,1,0,0,PUSC015,Delhi,德里,德里,Delhi,Delhi,Delhi,Delhi,Delhi
3865982416,0,9,4,5,1,0,0,PRSD409,Pr_20i_Tashkent,塔什干,塔什干,Tashkent,Tashkent,Tashkent,Tashkent,Ташкент
4185896400,0,4,1,5,1,0,0,PRSA104,Komsomolets,科莫索莫勒斯,共青团员,Komsomolets,Komsomolets,Komsomolets,Komsomolets,Комсомолец
4076255024,0,8,5,3,1,0,0,PGSS208,U190,U-190,U-190,U-190,U-190,U-190,U-190,U-190
4077795024,0,7,4,2,1,0,0,PJSD207,Shiratsuyu,梿,白露,Shiratsuyu,Shiratsuyu,Shiratsuyu,白露,Shiratsuyu
4278105456,0,6,3,11,1,0,0,PUSC016,Hobart,霍巴特,霍巴特,Hobart,Hobart,Hobart,Hobart,Hobart
3542071248,0,8,1,4,3,1,0,PBSA718,Theseus,忒修斯,忒修斯,Theseus,Theseus,Theseus,Theseus,Theseus
4183701328,0,6,4,6,1,0,0,PFSD106,Guepard,猎豹,猎豹,Guépard,Guépard,Guépard,Guépard,Guépard
3552524272,0,8,2,1,5,1,0,PASB708,Alabama,阿拉巴马,阿拉巴马 ST,Alabama ST,Alabama ST,Alabama ST,Alabama ST,Alabama ST
3752736720,0,8,4,4,2,1,0,PBSD517,Cossack,哥萨克,哥萨克人,Cossack,Cossack,Cossack,Cossack,Cossack
3742316496,0,7,2,4,2,1,0,PBSB527,Duke_of_York,约克公爵,约克公爵,Duke of York,Duke of York,Duke of York,Duke of York,Duke of York
4183799600,0,6,1,3,1,0,0,PGSA106,Weser,威悉河,威悉河,Weser,Weser,Weser,Weser,Weser
3549870032,0,10,5,4,2,0,1,PBSS710,Seal,海豹,海豹,Seal,Seal,Seal,Seal,Seal
3543054032,0,7,3,2,3,1,0,PJSC717,Yellow_Dragon,凤凰,南方神龙,S. Dragon,S. Dragon,Southern Dragon,S. Dragon,S. Dragon
3761157584,0,9,3,5,4,1,0,PRSC509,Kronshtadt,喀朗施塔得,喀琅施塔得,Kronshtadt,Kronshtadt,Kronshtadt,Kronshtadt,Кронштадт
3750704880,0,9,2,7,2,1,0,PISB519,Giuseppe_Verdi,朱塞佩·威尔第,朱塞佩·威尔第,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Verdi
4179539376,0,10,3,13,1,0,0,PSSC110,Castilla,卡斯蒂利亚,卡斯蒂利亚,Castilla,Castilla,Castilla,Castilla,Castilla
3436099280,0,9,3,2,3,1,0,PJSC819,BA_Takahashi,BA 狒,BA 高梁,BA Takahashi,BA Takahashi,BA Takahashi,BA 高梁,BA Takahashi
3363780304,0,8,2,2,3,1,0,PJSB888,Ragnarok,诸神黄昏,Ragnarok,Ragnarok,Ragnarok,Ragnarok,Ragnarok,Ragnarok
3353327600,0,8,1,1,3,1,0,PASA898,AZUR_Hornet,AL 大黄蜂,AL 大黄蜂,AL Hornet,AL Hornet,AL Hornet,AL Hornet,AL Hornet
3765352176,0,5,3,7,2,1,0,PISC505,Genova,热那亚,热那亚,Genova,Genova,Genova,Genova,Genova
3550361392,0,10,4,3,3,0,1,PGSD710,Georg_Hoffmann,格奥尔格·霍夫曼,格奥尔格·霍夫曼,G. Hoffmann,G. Hoffmann,Georg Hoffmann,G. Hoffmann,G. Hoffmann
4184782800,0,5,3,4,1,0,0,PBSC105,Emerald,翡翠,翡翠,Emerald,Emerald,Emerald,Emerald,Emerald
4179572688,0,10,2,4,1,0,0,PBSB110,Conqueror,征服者,征服者,Conqueror,Conqueror,Conqueror,Conqueror,Conqueror
3764270896,0,6,4,3,3,1,0,PGSD506,T_61,T-61,T-61,T-61,T-61,T-61,T-61,T-61
4286494416,0,7,3,2,1,0,0,PJSC008,Myoko_1945,鬣,妙高,Myōkō,Myōkō,Myōkō,妙高,Myōkō
4078352176,0,6,5,3,1,0,0,PGSS206,U_69,U-69,U-69,U-69,U-69,U-69,U-69,U-69
3550361328,0,10,4,7,3,0,1,PISD710,Alberico_da_Barbiano,阿尔贝科·达·巴比亚诺,阿尔贝里科·达·巴尔比亚诺,A. da Barbiano,A. da Barbiano,Alberico da Barbiano,A. da Barbiano,A. da Barbiano
4074682064,0,10,3,2,1,0,0,PJSC210,Yodo,狍,淀,Yodo,Yodo,Yodo,淀,Yodo
3767449296,0,3,3,2,2,1,0,PJSC503,Katori,鹿,香取,Katori,Katori,Katori,香取,Katori
4291770064,0,4,2,2,1,0,0,PJSB003,Myogi_1912,鲛,妙义,Myōgi,Myōgi,Myōgi,妙義,Myōgi
4185798480,0,4,4,6,1,0,0,PFSD104,Bourrasque,狂风,狂风,Bourrasque,Bourrasque,Bourrasque,Bourrasque,Bourrasque
4180588368,0,9,3,6,1,0,0,PFSC109,Saint_Louis,路易九世,路易九世,Saint-Louis,Saint-Louis,Saint-Louis,Saint-Louis,Saint-Louis
4180555600,0,9,4,6,1,0,0,PFSD109,Mogador,莫加多尔,莫加多尔,Mogador,Mogador,Mogador,Mogador,Mogador
3543087056,0,7,2,4,3,1,0,PBSB717,Rodney,罗德尼,罗德尼,Rodney,Rodney,Rodney,Rodney,Rodney
4074747856,0,10,1,4,1,0,0,PBSA210,Audacious,大胆,大胆,Audacious,Audacious,Audacious,Audacious,Audacious
4185896752,0,4,1,3,1,0,0,PGSA104,Rhein,莱茵河,莱茵河,Rhein,Rhein,Rhein,Rhein,Rhein
4186846960,0,3,4,7,1,0,0,PISD103,Sauro,纳萨里奥·萨乌罗,纳扎里奥·萨乌罗,N. Sauro,N. Sauro,Nazario Sauro,N. Sauro,N. Sauro
3551475440,0,9,2,7,,1,0,PISB709,Olympian_Marco_Polo,前百夫长,百夫长,Pilus Prior,Pilus Prior,Pilus Prior,Pilus Prior,Pilus Prior
4187927888,0,2,3,12,1,0,0,PVSC102,Almirante_Barroso,巴罗索海军上将,巴罗索海军上将,Alm. Barroso,Alm. Barroso,Almirante Barroso,Alm. Barroso,Alm. Barroso
4186879728,0,3,3,7,1,0,0,PISC103,Taranto,塔兰托,塔兰托,Taranto,Taranto,Taranto,Taranto,Taranto
3763288048,0,6,2,1,2,1,0,PASB507,West_Virginia,西弗吉尼亚 '41,西弗吉尼亚 41,W. Virginia '41,W. Virginia '41,W. Virginia '41,W. Virginia '41,W. Virginia '41
3544102736,0,6,3,6,3,1,0,PFSC716,Montcalm,蒙卡尔姆,蒙卡尔姆,Montcalm,Montcalm,Montcalm,Montcalm,Montcalm
4186879952,0,3,3,4,1,0,0,PBSC103,Caledon,卡利登,卡利登,Caledon,Caledon,Caledon,Caledon,Caledon
3761157936,0,9,3,3,3,1,0,PGSC509,Siegfried,齐格飞,齐格菲,Siegfried,Siegfried,Siegfried,Siegfried,Siegfried
3353294640,0,8,2,3,3,1,0,PGSB898,Azur_Bismarck,AL 俾斯麦,AL 俾斯麦,AL Bismarck,AL Bismarck,AL Bismarck,AL Bismarck,AL Bismarck
4280202608,0,4,3,11,1,0,0,PUSC014,Dunedin,达尼丁,达尼丁,Dunedin,Dunedin,Dunedin,Dunedin,Dunedin
3764270416,0,6,4,12,2,1,0,PVSD506,Jurua,茹鲁阿,茹鲁阿,Juruá,Juruá,Juruá,Juruá,Juruá
4179539728,0,10,3,10,1,0,0,PHSC110,Gouden_Leeuw,金狮,金狮,Gouden Leeuw,Gouden Leeuw,Gouden Leeuw,Gouden Leeuw,Gouden Leeuw
3555670000,0,5,2,1,2,1,0,PASB705,Texas_1944,德克萨斯,德克萨斯,Texas,Texas,Texas,Texas,Texas
3730748880,0,8,3,5,2,1,0,PRSC538,Petr_Bagration,彼得罗·巴格拉季昂,彼得罗·巴格拉季昂,P. Bagration,P. Bagration,Pyotr Bagration,P. Bagration,П. Багратион
3658397424,0,7,3,7,3,1,0,PISC607,Gorizia,戈里齐亚,戈里齐亚,Gorizia,Gorizia,Gorizia,Gorizia,Gorizia
4182652208,0,7,4,9,1,0,0,PWSD107,Skane,斯科讷,斯科讷,Skåne,Skåne,Skåne,Skåne,Skåne
3541972176,0,8,4,8,3,1,0,PZSD718,Warhammer_Ork,冲撞跳跳,Ship Smasha,Ship Smasha,Ship Smasha,Ship Smasha,Ship Smasha,Ship Smasha
4274992464,0,9,2,12,1,0,0,PVSB019,Los_Andes,洛斯安第斯,安第斯,Los Andes,Los Andes,Los Andes,Los Andes,Los Andes
3552524016,0,8,2,7,3,1,0,PISB708,AZUR_Littorio,AL 利托里奥,AL 利托里奥,AL Littorio,AL Littorio,AL Littorio,AL Littorio,AL Littorio
3540957008,0,9,3,6,2,1,0,PFSC719,Le_Havre,勒阿弗尔,勒阿弗尔,Le Havre,Le Havre,Le Havre,Le Havre,Le Havre
4272895696,0,9,2,2,1,0,0,PJSB021,Izumo_1938,鲟,出云,Izumo,Izumo,Izumo,出雲,Izumo
3529455600,0,10,2,1,4,0,1,PASB730,Wisconsin,威斯康星,威斯康星,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
4187895632,0,2,4,6,1,0,0,PFSD102,Enseigne_Gabolde,加博尔德海军少尉,加博尔德海军少尉,En. Gabolde,En. Gabolde,Enseigne Gabolde,En. Gabolde,En. Gabolde
3751753712,0,8,2,1,3,1,0,PASB518,Massachusetts,马萨诸塞,马萨诸塞,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
4183209968,1,6,5,1,1,0,1,PASS106,Cachalot,抹香鲸 (旧),抹香鲸 (old),Cachalot (old),Cachalot (old),Cachalot (< 04.10.2022),Cachalot (old),Cachalot (old)
3751720912,0,8,3,4,2,1,0,PBSC518,Tiger_1959,虎 '59,虎 59,Tiger '59,Tiger '59,Tiger '59,Tiger '59,Tiger '59
4082055120,0,3,2,4,1,0,0,PBSB203,Indefatigable,不倦,不倦,Indefatigable,Indefatigable,Indefatigable,Indefatigable,Indefatigable
4179507024,0,10,4,6,1,0,0,PFSD110,Kleber,克莱贝尔,克莱贝尔,Kléber,Kléber,Kléber,Kléber,Kléber
3760075984,0,10,4,8,4,0,1,PZSD510,Lushun,旅安,旅顺,Lüshun,Lüshun,Lüshun,Lüshun,Lüshun
3971888592,0,8,4,5,1,0,0,PRSD308,Pr_48,基辅,基辅,Kiev,Kiev,Kiev,Kiev,Киев
3765351888,0,5,3,5,2,1,0,PRSC505,KrasniKrym,红色克里米亚,红色克里米亚,Krasny Krym,Krasny Krym,Krasny Krym,Krasny Krym,Красный Крым
3760141776,0,10,2,5,3,0,1,PRSB510,Slava,光荣,光荣,Slava,Slava,Slava,Slava,Слава
3550459216,0,10,1,12,,0,1,PVSA710,Independencia,独立,自主,Independencia,Independencia,Independencia,Independencia,Independencia
4183701200,0,6,4,2,1,0,0,PJSD106,Fubuki,桐,吹雪,Fubuki,Fubuki,Fubuki,吹雪,Fubuki
4178458608,0,11,4,1,2,0,0,PASD111,Joshua_Humphreys,约书亚·汉弗莱斯,约书亚·汉弗莱斯,J. Humphreys,J. Humphreys,Joshua Humphreys,J. Humphreys,J. Humphreys
3362732016,0,9,2,1,3,1,0,PASB889,Azur_Kearsarge,AL 基尔萨奇,AL 奇尔沙治,AL Kearsarge,AL Kearsarge,AL Kearsarge,AL Kearsarge,AL Kearsarge
3760175088,0,10,1,1,3,0,1,PASA510,Roosevelt,富兰克林,富兰克林·罗斯福,F.D. Roosevelt,F. D. Roosevelt,Franklin D. Roosevelt,F. D. Roosevelt,F. D. Roosevelt
4188977104,0,1,3,4,1,0,0,PBSC101,Black_Swan,黑天鹅,黑天鹅,Black Swan,Black Swan,Black Swan,Black Swan,Black Swan
3763255088,0,7,3,3,2,1,0,PGSC507,Munchen,慕尼黑,慕尼黑,München,München,München,München,München
4185830832,0,4,3,13,1,0,0,PSSC104,Almirante_Cervera,塞韦拉海军上将,塞韦拉海军上将,Almte. Cervera,Almte. Cervera,Almirante Cervera,Almte. Cervera,Almte. Cervera
4178491216,0,11,3,6,2,0,0,PFSC111,Conde,孔代,孔代,Condé,Condé,Condé,Condé,Condé
3550393648,0,10,3,9,3,0,1,PWSC710,Svea,斯维亚,斯维亚,Svea,Svea,Svea,Svea,Svea
4181636880,0,8,3,10,1,0,0,PHSC108,Haarlem,哈勒姆,哈勒姆,Haarlem,Haarlem,Haarlem,Haarlem,Haarlem
3539875632,0,10,4,3,4,0,1,PGSD720,Gold_Georg_Hoffmann,格奥尔格·霍夫曼 (金),金色格奥尔格·霍夫曼,G. Hoffmann G,G. Hoffmann G,Georg Hoffmann Golden,G. Hoffmann G,G. Hoffmann G
3330192848,0,10,3,5,,0,1,PRSC920,PostApoc_Petropavlovsk,歪比巴卜,PTRPVLSK,PTRPVLSK,PTRPVLSK,PTRPVLSK,PTRPVLSK,PTRPVLSK
3540989936,0,9,2,1,,1,0,PASB719,Indiana,印第安纳,印第安纳,Indiana,Indiana,Indiana,Indiana,Indiana
4184749360,0,5,4,9,1,0,0,PWSD105,Visby,维斯比,维斯比,Visby,Visby,Visby,Visby,Visby
3969857328,0,10,2,3,1,0,0,PGSB310,Preussen,普鲁士,普鲁士,Preussen,Preussen,Preussen,Preussen,Preussen
3676223184,0,10,3,2,2,0,1,PJSC590,Black_Yoshino,狤 (黑),吉野 B,Yoshino B,Yoshino B,Yoshino B,吉野 B,Yoshino B
4184782672,0,5,3,6,1,0,0,PFSC105,Emile_Bertin,白劳易,白劳易,Émile Bertin,Émile Bertin,Émile Bertin,Émile Bertin,Émile Bertin
4179572560,0,10,2,6,1,0,0,PFSB110,France,共和,共和国,République,République,République,République,République
3552491472,0,8,3,4,,1,0,PBSC708,STPatric_Belfast_1943,思南,辛安,Sinann,Sinann,Sinann,Sinann,Sinann
4185864016,0,4,2,6,1,0,0,PFSB104,Courbet,孤拔,孤拔,Courbet,Courbet,Courbet,Courbet,Courbet
3762173136,0,8,4,8,2,1,0,PZSD508,LoYang,雒安,洛阳,洛陽,Loyang,Loyang,Loyang,Loyang
4077827792,0,7,3,2,1,0,0,PJSC207,Omono,獭,雄物,Omono,Omono,Omono,雄物,Omono
3767449040,0,3,3,5,2,1,0,PRSC503,Oleg,奥列格,奥列格,Oleg,Oleg,Oleg,Oleg,Олег
3762238928,0,7,2,5,3,1,0,PRSB508,Poltava,波尔塔瓦,波尔塔瓦,Poltava,Poltava,Poltava,Poltava,Полтава
4276041008,0,8,2,9,,0,0,PWSB018,Enigheten,众志,众志,Enigheten,Enigheten,Enigheten,Enigheten,Enigheten
3509499600,0,9,3,2,4,1,0,PJSC749,GM_Suzuya,猿 (金),金色铃谷,Suzuya G,Suzuya G,Suzuya Golden,鈴谷 G,Suzuya G
3552491504,0,8,3,1,,1,0,PASC708,Bridgeport,布里奇波特,布里奇波特,Bridgeport,Bridgeport,Bridgeport,Bridgeport,Bridgeport
3762272240,1,8,1,1,1,0,1,PASA508,Enterprise,企业,企业（旧）,Enterprise (old),Enterprise (old),Enterprise (< 23.01.2019),Enterprise (old),Enterprise (old)
3753818064,0,6,3,4,2,1,0,PBSC516,London,伦敦,伦敦,London,London,London,London,London
3761190704,0,9,2,3,2,1,0,PGSB509,Pommern,波美拉尼亚,波美拉尼亚,Pommern,Pommern,Pommern,Pommern,Pommern
4185864144,0,4,2,4,1,0,0,PBSB104,Orion,俄里翁,俄里翁,Orion,Orion,Orion,Orion,Orion
3752736112,0,7,4,11,3,1,0,PUSD517,Huron,休伦,休伦,Huron,Huron,Huron,Huron,Huron
4284396912,0,10,3,11,1,0,0,PUSC010,Cerberus,刻耳柏洛斯,刻耳柏洛斯,Cerberus,Cerberus,Cerberus,Cerberus,Cerberus
3763254608,0,7,3,12,2,1,0,PVSC507,Nueve_de_Julio_1951,七月九日城,七月九日,Nueve de Julio,Nueve de Julio,Nueve de Julio,Nueve de Julio,Nueve de Julio
3679369200,0,7,3,1,2,1,0,PASC587,Black_Atlanta,亚特兰大 (黑),亚特兰大 B,Atlanta B,Atlanta B,Atlanta B,Atlanta B,Atlanta B
3761125104,0,9,4,7,3,1,0,PISD509,Paolo_Emilio,保罗·埃米利奥,保罗·埃米利奥,Paolo Emilio,Paolo Emilio,Paolo Emilio,Paolo Emilio,Paolo Emilio
4274960144,0,9,3,10,1,0,0,PHSC019,Menno_Van_Coehoorn,门诺·范·库霍恩,门诺·范库霍恩,M. van Coehoorn,M. van Coehoorn,Menno van Coehoorn,M. van Coehoorn,M. van Coehoorn
4287510224,1,8,4,2,1,0,1,PJSD007,Fubuki_1944,桐(旧),吹雪 (old),Fubuki (old),Fubuki (old),Fubuki (< 01.12.2016),吹雪 (old),Fubuki (old)
4282300112,0,9,3,2,1,0,0,PJSC012,Ibuki_1944,虎,伊吹,Ibuki,Ibuki,Ibuki,伊吹,Ibuki
3445569264,0,10,2,7,4,0,1,PISB810,Cyber_Ruggiero_di_Lauria,黑色风暴,黑色风暴,Tempesta Nera,Tempesta Nera,Tempesta Nera,Tempesta Nera,Tempesta Nera
3667900112,0,8,1,2,2,1,0,PJSA598,Black_Kaga,鸾 (黑),加贺 B,Kaga B,Kaga B,Kaga B,加賀 B,Kaga B
4186879824,0,3,3,6,1,0,0,PFSC103,Friant,弗利昂,弗利昂,Friant,Friant,Friant,Friant,Friant
4181669712,0,8,2,6,1,0,0,PFSB108,Richelieu,黎塞留,黎塞留,Richelieu,Richelieu,Richelieu,Richelieu,Richelieu
3741234640,0,8,3,5,2,1,0,PRSC528,Ochakov,奥恰科夫,奥恰科夫,Ochakov,Ochakov,Ochakov,Ochakov,Очаков
4081039312,0,4,1,4,1,0,0,PBSA204,Hermes,竞技神,竞技神,Hermes,Hermes,Hermes,Hermes,Hermes
3330193200,0,10,3,3,,0,1,PGSC920,Gold_Bremen,不来梅 (金),金色不来梅,Bremen G,Bremen G,Bremen Golden,Bremen G,Bremen G
3655317296,0,10,1,3,2,0,1,PGSA610,Max_Immelmann,马克斯·殷麦曼,马克斯·殷麦曼,M. Immelmann,M. Immelmann,Max Immelmann,M. Immelmann,M. Immelmann
3764270288,0,6,4,8,2,1,0,PZSD506,Anshan,襄安,鞍山,Anshan,Anshan,Anshan,Anshan,Anshan
3741267952,0,8,2,1,5,1,0,PASB528,Alabama_VL,阿拉巴马 VL,阿拉巴马 VL,Alabama VL,Alabama VL,Alabama VL,Alabama VL,Alabama VL
4183700784,0,6,4,9,1,0,0,PWSD106,Vasteras,韦斯特罗斯,韦斯特罗斯,Västerås,Västerås,Västerås,Västerås,Västerås
3764303600,0,6,3,7,2,1,0,PISC506,DucadAosta,奥斯塔公爵,奥斯塔公爵,Duca d'Aosta,Duca d'Aosta,Duca d'Aosta,Duca d'Aosta,Duca d'Aosta
3550360880,0,10,4,9,3,0,1,PWSD710,Ragnar,朗纳尔,朗纳尔,Ragnar,Ragnar,Ragnar,Ragnar,Ragnar
3764336432,0,6,2,3,2,1,0,PGSB506,Prinz_Eithel_Friedrich,艾特尔·弗里德里希王子,艾特尔·弗里德里希亲王,P. E. Friedrich,P. E. Friedrich,Prinz Eitel Friedrich,P. E. Friedrich,P. E. Friedrich
